moses	s0-en	s1-en	s2-en	s3-en	s4-en	s5-en	s6-en
4	12	10	12	10	10	4	8
6	8	4	10	8	12	6	6
4	10	6	12	10	12	6	6
6	6	6	8	8	8	6	6
10	10	10	8	12	10	8	10
6	6	6	12	6	8	6	8
6	8	8	12	8	6	8	6
4	10	10	12	8	8	6	4
2	8	8	10	8	10	8	6
10	10	12	8	6	8	8	10
6	6	10	10	10	8	10	10
4	4	4	8	10	10	4	10
10	10	10	10	10	10	8	10
6	6	8	10	10	6	6	8
4	6	6	10	8	6	4	6
4	6	4	10	6	6	8	8
10	10	10	10	10	10	10	10
4	4	4	6	12	6	6	6
4	6	8	8	10	8	4	8
4	6	10	10	6	6	6	10
4	4	4	10	6	4	6	4
8	10	10	10	10	10	8	8
10	10	10	10	10	10	12	10
4	8	6	12	10	4	4	4
6	8	8	8	8	8	8	6
2	12	8	6	10	8	2	10
4	8	6	12	8	10	10	10
