Subject	Document	Time (milliseconds)	Alignments shown
subject1	1	1139188	false
subject1	2	1484666	true
subject12	1	948403	true
subject12	2	583722	false
subject16	1	1218925	false
subject16	2	1193953	true
subject2	1	950638	true
subject2	2	1154674	false
subject3	1	941989	false
subject3	2	1034123	true
subject4	1	457986	true
subject4	2	763746	false
subject5	1	1825889	false
subject5	2	1379894	true
subject6	1	1220577	true
subject6	2	2074178	false
subject7	1	1721410	false
subject7	2	1612934	true
subject8	1	1714654	true
subject8	2	1573063	false
subject9	1	1475005	false
subject9	2	1845593	true
